ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
I10,R73,1.55185418891,BA00,MA18.0Z
F01,F18,1.97272115738,6D8Z,6C4B
A41,F22,1.396703,1G40,6A24
G43,I46,1.33454,8A8Z,MC82
B17,I46,1.7623741988,1E50,MC82
M54,R25,1.259286,ME84,MB46
E53,G44,2.03416660315,5B7Z,8A84
A69,E61,1.91279512836,1C4Z,5B7Z
E10,F07,1.73977929214,5A10,6E6Z
E66,I61,1.035814,5B81,8B00
B95,K59,2.14360542211,XN9ZG,DD91
H10,R07,1.31422,9A60,MD30
B34,B95,1.96345658372,1D9Z,XN9ZG
A36,J20,1.57404121434,1C17,CA42
R12,R23,1.078871,MD95,ME66.Y
K77,R18,1.74392541616,1H0Z,ME04
G24,N30,1.58304529773,8A02,GC00
A49,R26,1.6369427705,1C41,MB44
E87,R26,1.6369427705,5C7Z,MB44
B17,R06,1.25861,1E50,MD11
K29,R12,1.368471,DA42,MD95
B90,J45,1.448124,1G80,CA23.32
N13,R33,1.90333210115,GB56,MF50.3
N47,R33,1.90333210115,GB05,MF50.3
F70,H50,2.14892058389,6A00.0,9C8Y
E87,R18,2.1492447486,5C7Z,ME04
M40,R53,1.14743,FA70.2,MG25
E51,F18,2.12873498463,5B5A,6C4B
B90,Z04,1.225153,1G80,MF3Y
B90,L30,1.304803,1G80,EA8Z
B18,B22,1.90169267479,1E51,1C62
F13,F61,1.62530024566,6C44,6D10
G81,I69,2.08581936846,MB53.0,8B25
E66,R32,1.21805,5B81,MF50.2Z
J10,L89,1.179384,1E30,EH90
E66,T71,1.79239192265,5B81,NF05
F50,T14,1.71930884268,6B8Z,ND56
L89,R31,2.12763954416,EH90,MF50.4Z
H10,H53,1.346543,9A60,9D7Z
G91,G94,1.57099801138,8D64,8D64
B23,K77,1.95128043266,1C62,1H0Z
R13,T73,1.61966802619,MD93,NF07
A49,K77,1.61759043417,1C41,1H0Z
J44,J98,2.1395513524,CA22,CB40.Y
R00,R46,1.386239,MC81,MB23
F19,F51,1.123362,6C4D,7B2Z
J44,L30,1.51896494195,CA22,EA8Z
